season,week,home_team,away_team,home_points,away_points,spread,over_under,neutral_site,home_conference,away_conference,venue
2023,1,Stonehill,New Hampshire,17,51,,,False,NEC,CAA,W.B. Mason Stadium
2023,1,Apprentice School,Averett,14,34,,,False,Independent DIII,Old Dominion,Apprentice Field
2023,1,Husson,Norwich,28,14,,,False,Commonwealth Coast,NEWMAC,Dr. John W. Winkin Sports Complex
2023,1,Air Force,Robert Morris,42,7,,,False,Mountain West,Big South-OVC,Falcon Stadium
2023,1,Shenandoah,Methodist,44,29,,,False,Old Dominion,USA South,Shentel Stadium
2023,1,Hampden-Sydney,Wabash College,28,29,,,False,Old Dominion,North Coast,Lewis C. Everett Stadium
2023,1,Biddeford,Coast Guard,44,28,,,False,Commonwealth Coast,NEWMAC,Blue Storm Stadium
2023,1,Bridgewater (VA),Susquehanna,19,51,,,False,Old Dominion,Landmark Conference,Jopson Athletic Complex
2023,1,Wilmington (OH),Wooster,63,43,,,False,Ohio,North Coast,Wiliams Stadium (OH)
2023,1,Delaware State,Bowie State,11,22,,,False,MEAC,CIAA,Alumni Stadium
2023,1,Muskingum University,Ferrum,31,20,,,False,Ohio,Old Dominion,Sherman Field at McConagha Stadium
2023,1,Illinois State,Dayton,41,0,,,False,MVFC,Pioneer,Hancock Stadium
2023,1,Elizabeth City State,Catawba,23,31,,,False,CIAA,South Atlantic,Roebuck Stadium
2023,1,Baldwin Wallace,Mount St. Joseph,33,46,,,False,Ohio,Heartland,George Finnie Stadium
2023,1,Brevard College,Warner University,23,29,,,False,USA South,,Brevard Memorial Stadium
2023,1,Sewanee,Maryville College (TN),8,28,,,False,Southern Athletic,USA South,Hardee-McGee Field
2023,1,Castleton,Plymouth State,25,21,,,False,ECFC,MSCAC,Dave Wolk Stadium
2023,1,Washington and Lee,Salisbury,7,28,,,False,Old Dominion,New Jersey,Wilson Field
2023,1,Grove City College,Westminster (PA),17,7,,,False,Presidents',Presidents',Robert E. Thorn Field
2023,1,Saint Vincent,Washington & Jefferson,0,51,,,False,Presidents',Presidents',Chuck Noll Field
2023,1,William Paterson,FDU-Florham,29,33,,,False,New Jersey,Mid Atlantic,Wightman Stadium
2023,1,Waynesburg,Allegheny,36,39,,,False,Presidents',Presidents',John F. Wiley Stadium
2023,1,Dickinson (PA),Rensselaer,27,38,,,False,Centennial,Liberty League,Biddle Field
2023,1,Gettysburg,Juniata College,40,20,,,False,Centennial,Landmark Conference,Shirk Field at Musselman Stadium
2023,1,West Virginia Wesleyan,Johnson C Smith,6,49,,,False,Mountain East,CIAA,Cebe Ross Field
2023,1,Western New England,Springfield,14,28,,,False,Commonwealth Coast,NEWMAC,Golden Bear Stadium
2023,1,Defiance College,University of Mount Union,6,45,,,False,Heartland,Ohio,Justin F. Coressel Stadium
2023,1,Franklin,Olivet College,32,35,,,False,Heartland,Michigan,"Stewart """"Red"""" Faught Stadium"
2023,1,Centre College Kentucky,Hanover College,7,10,,,False,Southern Athletic,Heartland,Farris Stadium
2023,1,St. Olaf,Central College,24,34,,,False,Minnesota,American Rivers,Klein Field at Manitou
2023,1,Cornell College (IA),Coe College,6,56,,,False,Midwest,American Rivers,Van Metre Field at Ash Park
2023,1,Elmhurst,Adrian,14,3,,,False,CCIW,Michigan,Langhorst Field
2023,1,Iowa State,Northern Iowa,30,9,,,False,Big 12,MVFC,Jack Trice Stadium
2023,1,Ohio,Long Island University,27,10,,,False,Mid-American,NEC,Peden Stadium
2023,1,Hamline University,Crown College,45,13,,,False,Minnesota,Upper Midwest,Klas Field
2023,1,Augsburg,Northwestern (MN),52,10,,,False,Minnesota,Upper Midwest,Edor Nelson Field
2023,1,Chicago,Claremont-Mudd-Scripps College,15,24,,,False,Midwest,So. Cal.,Amos Alonzo Stagg Field
2023,1,Norfolk State,Virginia St,24,33,,,False,MEAC,CIAA,"William Dick"""" Price Stadium"""""
2023,1,Austin,Nebraska Wesleyan,7,19,,,False,American Southwest,American Rivers,Jerry E. Apple Stadium
2023,1,Augustana University (SD),University of Mary,38,7,,,False,Northern Sun,Northern Sun,Kirkeby-Over Stadium
2023,1,Dubuque,Wittenberg,27,28,,,False,American Rivers,North Coast,Chalmers Field
2023,1,Gustavus Adolphus,Buena Vista,51,7,,,False,Minnesota,American Rivers,Hollingsworth Field
2023,1,St Ambrose University  Iowa,Wisconsin-Stout,7,35,,,True,,Wisconsin,
2023,1,St. Norbert,Ripon,23,7,,,False,NACC,Midwest,Donald J. Schneider Stadium
2023,1,Concordia University Chicago,Greenville,14,41,,,False,NACC,Upper Midwest,Concordia Stadium
2023,1,John Carroll University,Wisconsin-Whitewater,23,27,,,False,Ohio,Wisconsin,Don Shula Stadium at Wasmer Field
2023,1,Ole Miss,Mercer,73,7,,,False,SEC,Southern,Vaught-Hemingway Stadium
2023,1,Concordia-Wisconsin,Martin Luther,55,14,,,False,NACC,Upper Midwest,Tomasini Stadium
2023,1,Aurora,Hope College,38,17,,,False,NACC,Michigan,Vago Field
2023,1,Carthage,Albion,20,41,,,False,CCIW,Michigan,Art Keller Field
2023,1,Montana,Butler,35,20,,,False,Big Sky,Pioneer,Washington-Grizzly Stadium
2023,1,Hendrix College,Washington University (St. Louis),27,44,,,False,Southern Athletic,CCIW,Young-Wise Memorial Stadium
2023,1,Roosevelt,North Central College,7,41,,,True,,CCIW,
2023,1,Jacksonville State,East Tennessee State,49,3,,,False,Conference USA,Southern,AmFirst Stadium
2023,1,Temple,Akron,24,21,,,False,American Athletic,Mid-American,Lincoln Financial Field
2023,1,Wisconsin-Eau Claire,Concordia Moorhead,31,28,,,False,Wisconsin,Minnesota,Carson Park
2023,1,Wisconsin-River Falls,Mary Hardin-Baylor,45,22,,,False,Wisconsin,American Southwest,David Smith Stadium at Ramer Field
2023,1,William Jewell,Fort Lewis,42,6,,,True,Great Lakes,Rocky Mountain,Liberty North High School
2023,1,Wisconsin-Oshkosh,Texas Lutheran,48,31,,,False,Wisconsin,American Southwest,J.J. Keller Field at Titan Stadium
2023,1,Hampton,Grambling,35,31,,,True,CAA,SWAC,Red Bull Arena
2023,1,Lane College,Miles College,24,37,,,False,SIAC,SIAC,Lane Field
2023,1,Oregon,Portland State,81,7,,,False,Pac-12,Big Sky,Autzen Stadium
2023,1,Colorado Mesa,Texas A&M-Kingsville,10,30,,,False,Rocky Mountain,Lone Star,Ralph Stocker Stadium
2023,1,Western Kentucky,South Florida,41,24,,,False,Conference USA,American Athletic,Houchens Industries-L.T. Smith Stadium
2023,1,Maryland,Towson,38,6,,,False,Big Ten,CAA,SECU Stadium
2023,1,Washington,Boise State,56,19,,,False,Pac-12,Mountain West,Husky Stadium
2023,1,Pittsburgh,Wofford,45,7,,,False,ACC,Southern,Acrisure Stadium
2023,1,Auburn,Massachusetts,59,14,,,False,SEC,FBS Independents,Jordan-Hare Stadium
2023,1,App State,Gardner-Webb,45,24,,,False,Sun Belt,Big South-OVC,Kidd Brewer Stadium
2023,1,North Dakota State,Eastern Washington,35,10,,,True,MVFC,Big Sky,U.S. Bank Stadium
2023,1,Notre Dame,Tennessee State,56,3,,,False,FBS Independents,Big South-OVC,Notre Dame Stadium
2023,1,Wisconsin,Buffalo,38,17,,,False,Big Ten,Mid-American,Camp Randall Stadium
2023,1,Cincinnati,Eastern Kentucky,66,13,,,False,Big 12,UAC,Nippert Stadium
2023,1,Texas,Rice,37,10,,,False,Big 12,American Athletic,DKR-Texas Memorial Stadium
2023,1,Indiana,Ohio State,3,23,,,False,Big Ten,Big Ten,"Memorial Stadium (Bloomington, IN)"
2023,1,Pacific Lutheran,Redlands,14,24,,,False,Northwest,So. Cal.,Sparks Stadium
2023,1,North Texas,California,21,58,,,False,American Athletic,Pac-12,DATCU Stadium
2023,1,UNLV,Bryant,44,14,,,False,Mountain West,Big South-OVC,Allegiant Stadium
2023,1,North Dakota,Drake,55,7,,,False,MVFC,Pioneer,Alerus Center
2023,1,Puget Sound,Lewis & Clark College,42,38,,,False,Northwest,Northwest,Baker Stadium
